data_id,name,metric,string_encoder,imputer,learning_algorithm,avg_cv_score,fit_time,predict_time
3,kr-vs-kp,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1,-1,-1
3,kr-vs-kp,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1,-1,-1
6,letter,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.2753727086144352,1.5922585487365724,0.1130861759185791
11,balance-scale,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.576935420886809,0.13381147384643555,0.011027383804321288
12,mfeat-factors,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.2407750880593274,0.7699024200439453,0.01732335090637207
14,mfeat-fourier,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.6127487345418762,0.828717851638794,0.01648736000061035
15,breast-w,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9910487328591255,0.1336970329284668,0.011367416381835938
16,mfeat-karhunen,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.4718840424909292,0.7788818836212158,0.01621379852294922
18,mfeat-morphological,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1.2661805595218285,0.24284858703613282,0.015575408935546875
22,mfeat-zernike,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.6945611700075202,0.6686395645141602,0.01535205841064453
23,cmc,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1,-1,-1
28,optdigits,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.2164514782141226,0.7158601760864258,0.025544357299804688
29,credit-approval,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1,-1,-1
31,credit-g,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.7686666666666666,0.7615989685058594,0.02551860809326172
32,pendigits,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.08534059435954312,1.0644880771636962,0.03335452079772949
