data_id,name,fold_nr,metric,string_encoder,imputer,learning_algorithm,cv_score,fit_time,predict_time
3,kr-vs-kp,0,roc_auc,None,None,DummyClassifier(),0.5,0.003052949905395508,0.0027000904083251953
3,kr-vs-kp,1,roc_auc,None,None,DummyClassifier(),0.5,0.0032939910888671875,0.0024831295013427734
3,kr-vs-kp,2,roc_auc,None,None,DummyClassifier(),0.5,0.003323078155517578,0.0024988651275634766
3,kr-vs-kp,3,roc_auc,None,None,DummyClassifier(),0.5,0.003055095672607422,0.002856016159057617
3,kr-vs-kp,4,roc_auc,None,None,DummyClassifier(),0.5,0.003362894058227539,0.00257110595703125
6,letter,0,neg_log_loss,None,None,DummyClassifier(),-3.257638042007986,0.005795955657958984,0.004385948181152344
6,letter,1,neg_log_loss,None,None,DummyClassifier(),-3.2576304980894992,0.00551295280456543,0.004481077194213867
6,letter,2,neg_log_loss,None,None,DummyClassifier(),-3.257689057282105,0.0056171417236328125,0.00442194938659668
6,letter,3,neg_log_loss,None,None,DummyClassifier(),-3.2577222610120313,0.0059032440185546875,0.0043599605560302734
6,letter,4,neg_log_loss,None,None,DummyClassifier(),-3.2576337063894454,0.005831003189086914,0.004357099533081055
11,balance-scale,0,neg_log_loss,None,None,DummyClassifier(),-0.9165118913935195,0.0009770393371582031,0.0008740425109863281
11,balance-scale,1,neg_log_loss,None,None,DummyClassifier(),-0.9165118913935194,0.0006220340728759766,0.0007939338684082031
11,balance-scale,2,neg_log_loss,None,None,DummyClassifier(),-0.9165118913935195,0.0006048679351806641,0.0007801055908203125
11,balance-scale,3,neg_log_loss,None,None,DummyClassifier(),-0.9165118913935196,0.0006010532379150391,0.0007758140563964844
11,balance-scale,4,neg_log_loss,None,None,DummyClassifier(),-0.9024711790452632,0.0006000995635986328,0.0007758140563964844
12,mfeat-factors,0,neg_log_loss,None,None,DummyClassifier(),-2.302585092994046,0.004597902297973633,0.0010631084442138672
12,mfeat-factors,1,neg_log_loss,None,None,DummyClassifier(),-2.302585092994046,0.004491090774536133,0.001107931137084961
12,mfeat-factors,2,neg_log_loss,None,None,DummyClassifier(),-2.302585092994046,0.004372119903564453,0.0011098384857177734
12,mfeat-factors,3,neg_log_loss,None,None,DummyClassifier(),-2.302585092994046,0.0034050941467285156,0.0010046958923339844
12,mfeat-factors,4,neg_log_loss,None,None,DummyClassifier(),-2.302585092994046,0.0027141571044921875,0.001010894775390625
